theta/pi: 0.38467, sin: 0.93508
   , cos: 0.35444, 1/sin: 1.06943
=================================================
q_max / q_scl, theta/pi, phi/pi
-------------
0.0, 0.247,0.473
0.03076, 0.321,-0.486
0.04952, 0.409,0.955
0.06504, 0.547,0.49
0.06576, 0.553,0.472
0.09792, 0.725,-0.495
0.1282, 0.743,0.518
0.16004, 0.609,-0.519
0.19476, 0.368,0.519
0.22624, 0.252,-0.523
0.25656, 0.286,0.502
0.28996, 0.481,-0.496
0.32388, 0.696,0.49
0.3544, 0.752,-0.474
0.38544, 0.661,0.482
0.41996, 0.426,-0.485
0.45244, 0.266,0.489
0.48264, 0.263,-0.513
0.51492, 0.416,0.516
0.54956, 0.654,-0.519
0.58068, 0.751,0.525
0.61112, 0.701,-0.508
0.64492, 0.491,0.502
0.67844, 0.291,-0.496
0.70884, 0.251,0.476
0.74016, 0.359,-0.48
0.77488, 0.6,0.482
0.80688, 0.741,-0.484
0.83712, 0.729,0.507
0.86984, 0.558,-0.512
0.90424, 0.327,0.516
0.93508, 0.248,-0.527
0.96576, 0.314,0.512
0.99992, 0.537,-0.508
1.033, 0.721,0.502
1.06328, 0.745,-0.48
1.09496, 0.618,0.48
1.12972, 0.376,-0.48
1.16132, 0.254,0.479
1.19164, 0.281,-0.501
1.2248, 0.47,0.507
1.25888, 0.69,-0.511
1.28952, 0.752,0.527
1.3204, 0.669,-0.517
1.35488, 0.436,0.514
1.38748, 0.269,-0.509
1.41772, 0.26,0.485
1.44984, 0.406,-0.483
1.48452, 0.646,0.48
1.51576, 0.75,-0.476
1.54616, 0.706,0.495
1.5798, 0.502,-0.5
1.61348, 0.295,0.506
1.64392, 0.25,-0.525
1.67512, 0.351,0.519
1.7098, 0.59,-0.518
1.74196, 0.739,0.514
1.77216, 0.732,-0.491
1.80472, 0.568,0.486
1.83924, 0.334,-0.483
1.87016, 0.248,0.474
1.90076, 0.308,-0.489
1.9348, 0.526,0.494
1.96804, 0.717,-0.5
1.99836, 0.747,0.522
2.02988, 0.627,-0.52
2.06464, 0.385,0.519
2.0964, 0.255,-0.519
2.12668, 0.277,0.497
2.15968, 0.459,-0.491
2.19388, 0.684,0.487
2.2246, 0.753,-0.473
2.2554, 0.675,0.485
2.28976, 0.446,-0.488
2.32256, 0.272,0.494
2.3528, 0.258,-0.517
2.38472, 0.397,0.519
2.41944, 0.638,-0.519
2.45084, 0.749,0.523
2.4812, 0.711,-0.503
2.51468, 0.513,0.497
2.54852, 0.301,-0.492
2.579, 0.249,0.474
2.61008, 0.343,-0.481
2.64468, 0.58,0.484
2.6586, 0.742,0.064
2.67704, 0.736,-0.488
2.70724, 0.735,0.512
2.72568, 0.739,-0.937
2.73964, 0.578,-0.515
2.75596, 0.444,-0.026
2.7742, 0.342,0.518
2.77508, 0.334,0.537
2.8052, 0.249,-0.526
2.80528, 0.248,-0.526
2.8354, 0.3,0.515
2.83576, 0.302,0.509
2.86928, 0.513,-0.494
2.86964, 0.515,-0.503
2.88348, 0.658,-0.914
2.90308, 0.713,0.498
2.93344, 0.749,-0.477
2.96484, 0.636,0.48
2.99956, 0.394,-0.482
3.03148, 0.257,0.482
3.06172, 0.273,-0.505
3.09456, 0.449,0.511
3.12888, 0.677,-0.514
3.15968, 0.753,0.527
3.1904, 0.682,-0.514
3.22464, 0.457,0.509
3.2576, 0.276,-0.504
3.28784, 0.256,0.481
3.31964, 0.387,-0.48
3.3544, 0.629,0.48
3.38592, 0.748,-0.478
3.41624, 0.716,0.499
3.44952, 0.523,-0.506
3.48352, 0.306,0.51
3.51408, 0.248,-0.526
3.54504, 0.336,0.518
3.57956, 0.57,-0.514
3.61208, 0.733,0.51
3.64232, 0.738,-0.486
3.67452, 0.588,0.483
3.7092, 0.349,-0.481
3.74036, 0.249,0.475
3.7708, 0.297,-0.493
3.80452, 0.505,0.499
3.83812, 0.708,-0.505
3.86852, 0.75,0.524
3.8998, 0.644,-0.519
3.93448, 0.404,0.518
3.96656, 0.26,-0.516
3.9968, 0.27,0.492
4.02944, 0.439,-0.487
4.06388, 0.67,0.484
4.09476, 0.752,-0.473
4.1254, 0.688,0.488
4.15952, 0.467,-0.493
4.19264, 0.28,0.498
4.22292, 0.254,-0.52
4.2546, 0.379,0.52
4.28932, 0.62,-0.519
4.321, 0.746,0.521
4.35128, 0.72,-0.498
4.3844, 0.534,0.492
4.41856, 0.312,-0.488
4.44916, 0.248,0.473
4.48004, 0.329,-0.484
4.51448, 0.56,0.487
4.54716, 0.73,-0.492
4.57736, 0.741,0.516
4.60944, 0.597,-0.518
4.64412, 0.357,0.519
4.67544, 0.25,-0.524
4.7058, 0.292,0.505
4.7394, 0.494,-0.499
4.77316, 0.703,0.493
4.8036, 0.751,-0.475
4.83476, 0.652,0.481
4.8694, 0.413,-0.483
4.90164, 0.262,0.486
4.93184, 0.267,-0.51
4.96436, 0.429,0.514
4.99888, 0.663,-0.518
5.02984, 0.752,0.526
5.0604, 0.694,-0.51
5.09436, 0.478,0.504
5.12768, 0.285,-0.5
5.158, 0.252,0.478
5.18952, 0.37,-0.48
5.22428, 0.612,0.481
5.25608, 0.744,-0.481
5.28632, 0.724,0.504
5.31928, 0.544,-0.51
5.35356, 0.319,0.514
5.38428, 0.247,-0.527
5.41504, 0.322,0.515
5.44936, 0.55,-0.511
5.4822, 0.726,0.506
5.51244, 0.743,-0.482
5.54436, 0.607,0.481
5.57908, 0.365,-0.481
5.61052, 0.252,0.477
5.64084, 0.287,-0.497
5.67428, 0.484,0.504
5.70816, 0.697,-0.509
5.73868, 0.752,0.526
5.76972, 0.659,-0.518
5.80428, 0.423,0.515
5.83668, 0.265,-0.512
5.86692, 0.264,0.488
5.89924, 0.419,-0.484
5.93384, 0.656,0.482
5.96492, 0.751,-0.474
5.9954, 0.7,0.491
6.02924, 0.489,-0.498
6.06272, 0.289,0.503
6.09308, 0.251,-0.523
6.12448, 0.362,0.52
6.1592, 0.602,-0.519
6.19116, 0.742,0.517
6.2214, 0.728,-0.494
6.25416, 0.555,0.488
