theta/pi: 0.25, sin: 0.70711
   , cos: 0.70711, 1/sin: 1.41421
=================================================
q_max / q_scl, theta/pi, phi/pi
-------------
0.0, 0.5,-0.5
0.70654, 0.5,0.5
1.41308, 0.5,-0.5
2.11962, 0.5,0.5
2.82617, 0.5,-0.5
3.53271, 0.5,0.5
4.23925, 0.5,-0.5
4.94579, 0.5,0.5
5.65233, 0.5,-0.5
6.35887, 0.5,0.5
7.06541, 0.5,-0.5
7.77196, 0.5,0.5
8.4785, 0.5,-0.5
9.18504, 0.5,0.5
9.89158, 0.5,-0.5

--- n|sin(θr)| + m|cos(θr)| (with 0 ≤ value ≤ 4√π), sorted by value ---
0|sin(θr)| + 0|cos(θr)| = 0.0   (n=0, m=0)
-1|sin(θr)| + 1|cos(θr)| = 0.0   (n=-1, m=1)
-2|sin(θr)| + 2|cos(θr)| = 0.0   (n=-2, m=2)
-5|sin(θr)| + 5|cos(θr)| = 0.0   (n=-5, m=5)
-4|sin(θr)| + 4|cos(θr)| = 0.0   (n=-4, m=4)
-3|sin(θr)| + 3|cos(θr)| = 0.0   (n=-3, m=3)
4|sin(θr)| + -3|cos(θr)| = 0.70711   (n=4, m=-3)
5|sin(θr)| + -4|cos(θr)| = 0.70711   (n=5, m=-4)
3|sin(θr)| + -2|cos(θr)| = 0.70711   (n=3, m=-2)
2|sin(θr)| + -1|cos(θr)| = 0.70711   (n=2, m=-1)
1|sin(θr)| + 0|cos(θr)| = 0.70711   (n=1, m=0)
0|sin(θr)| + 1|cos(θr)| = 0.70711   (n=0, m=1)
-1|sin(θr)| + 2|cos(θr)| = 0.70711   (n=-1, m=2)
-4|sin(θr)| + 5|cos(θr)| = 0.70711   (n=-4, m=5)
-3|sin(θr)| + 4|cos(θr)| = 0.70711   (n=-3, m=4)
-2|sin(θr)| + 3|cos(θr)| = 0.70711   (n=-2, m=3)
5|sin(θr)| + -3|cos(θr)| = 1.41421   (n=5, m=-3)
4|sin(θr)| + -2|cos(θr)| = 1.41421   (n=4, m=-2)
1|sin(θr)| + 1|cos(θr)| = 1.41421   (n=1, m=1)
2|sin(θr)| + 0|cos(θr)| = 1.41421   (n=2, m=0)
3|sin(θr)| + -1|cos(θr)| = 1.41421   (n=3, m=-1)
0|sin(θr)| + 2|cos(θr)| = 1.41421   (n=0, m=2)
-3|sin(θr)| + 5|cos(θr)| = 1.41421   (n=-3, m=5)
-2|sin(θr)| + 4|cos(θr)| = 1.41421   (n=-2, m=4)
-1|sin(θr)| + 3|cos(θr)| = 1.41421   (n=-1, m=3)
5|sin(θr)| + -2|cos(θr)| = 2.12132   (n=5, m=-2)
2|sin(θr)| + 1|cos(θr)| = 2.12132   (n=2, m=1)
3|sin(θr)| + 0|cos(θr)| = 2.12132   (n=3, m=0)
4|sin(θr)| + -1|cos(θr)| = 2.12132   (n=4, m=-1)
-2|sin(θr)| + 5|cos(θr)| = 2.12132   (n=-2, m=5)
-1|sin(θr)| + 4|cos(θr)| = 2.12132   (n=-1, m=4)
0|sin(θr)| + 3|cos(θr)| = 2.12132   (n=0, m=3)
1|sin(θr)| + 2|cos(θr)| = 2.12132   (n=1, m=2)
2|sin(θr)| + 2|cos(θr)| = 2.82843   (n=2, m=2)
3|sin(θr)| + 1|cos(θr)| = 2.82843   (n=3, m=1)
4|sin(θr)| + 0|cos(θr)| = 2.82843   (n=4, m=0)
5|sin(θr)| + -1|cos(θr)| = 2.82843   (n=5, m=-1)
-1|sin(θr)| + 5|cos(θr)| = 2.82843   (n=-1, m=5)
0|sin(θr)| + 4|cos(θr)| = 2.82843   (n=0, m=4)
1|sin(θr)| + 3|cos(θr)| = 2.82843   (n=1, m=3)
4|sin(θr)| + 1|cos(θr)| = 3.53553   (n=4, m=1)
5|sin(θr)| + 0|cos(θr)| = 3.53553   (n=5, m=0)
0|sin(θr)| + 5|cos(θr)| = 3.53553   (n=0, m=5)
1|sin(θr)| + 4|cos(θr)| = 3.53553   (n=1, m=4)
2|sin(θr)| + 3|cos(θr)| = 3.53553   (n=2, m=3)
3|sin(θr)| + 2|cos(θr)| = 3.53553   (n=3, m=2)
4|sin(θr)| + 2|cos(θr)| = 4.24264   (n=4, m=2)
5|sin(θr)| + 1|cos(θr)| = 4.24264   (n=5, m=1)
1|sin(θr)| + 5|cos(θr)| = 4.24264   (n=1, m=5)
2|sin(θr)| + 4|cos(θr)| = 4.24264   (n=2, m=4)
3|sin(θr)| + 3|cos(θr)| = 4.24264   (n=3, m=3)
2|sin(θr)| + 5|cos(θr)| = 4.94975   (n=2, m=5)
3|sin(θr)| + 4|cos(θr)| = 4.94975   (n=3, m=4)
4|sin(θr)| + 3|cos(θr)| = 4.94975   (n=4, m=3)
5|sin(θr)| + 2|cos(θr)| = 4.94975   (n=5, m=2)
3|sin(θr)| + 5|cos(θr)| = 5.65685   (n=3, m=5)
4|sin(θr)| + 4|cos(θr)| = 5.65685   (n=4, m=4)
5|sin(θr)| + 3|cos(θr)| = 5.65685   (n=5, m=3)
4|sin(θr)| + 5|cos(θr)| = 6.36396   (n=4, m=5)
5|sin(θr)| + 4|cos(θr)| = 6.36396   (n=5, m=4)
5|sin(θr)| + 5|cos(θr)| = 7.07107   (n=5, m=5)
